name,location,address,maps_url
"Banque Misr, Ain Shams Faculty Of Medecine Branch","(30.0758413, 31.2807943)","37GJ+88M, El-Mohamady, El Weili","https://www.google.com/maps/search/?api=1&query=30.0758413,31.2807943"
Banque MISR,"(30.0541739, 31.2050436)","3633+MX5, البطل أحمد عبد العزيز، الدقي، الدقى, Ad Doqi, Agouza","https://www.google.com/maps/search/?api=1&query=30.0541739,31.2050436"
Banque Misr,"(30.0526118, 31.2121307)","3636+2VR, Al Sheikh Al Maraghi, Al Agouzah, Agouza","https://www.google.com/maps/search/?api=1&query=30.0526118,31.2121307"
Banque Misr ATM,"(30.0781014, 31.2746698)","37HF+6VV, Al Hadaek, Hada'iq El Qobbah","https://www.google.com/maps/search/?api=1&query=30.0781014,31.2746698"
Bank Misr Dar Elkdaa,"(30.0523501, 31.2409216)","362R+W9V, Champollion Rd, Marouf, Qasr El Nil","https://www.google.com/maps/search/?api=1&query=30.0523501,31.2409216"
بنك مصر,"(30.0505707, 31.24622489999999)","Credit Hours Section, 56, Abd El-Khalik Tharwat, Qasr El Nil","https://www.google.com/maps/search/?api=1&query=30.0505707,31.24622489999999"
Banque Misr,"(30.0803896, 31.24254089999999)","68 Road El Farag St.، SHOUBRA, El Sahel","https://www.google.com/maps/search/?api=1&query=30.0803896,31.24254089999999"
Banque Misr High Judicial Branch,"(30.0528869, 31.2402859)","363R+543, Marouf, Al Azbakeya","https://www.google.com/maps/search/?api=1&query=30.0528869,31.2402859"
Banque Misr,"(30.081276, 31.2149319)","36J7+GX4, Madinet Al Ommal, Imbaba","https://www.google.com/maps/search/?api=1&query=30.081276,31.2149319"
Banque Misr Overseas Branch,"(30.0484469, 31.2445284)","153 Mohammed Farid, Al Fawalah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0484469,31.2445284"
Banque Misr,"(30.076292, 31.208903)","El Guish St, Tag Ad Dewal, العياط","https://www.google.com/maps/search/?api=1&query=30.076292,31.208903"
Banque Misr,"(30.0794754, 31.245561)","36HW+Q6V, Menyat as Serg, El Sahel","https://www.google.com/maps/search/?api=1&query=30.0794754,31.245561"
Banque Misr For Islamic Transactions,"(30.04718209999999, 31.2545516)","401 ش بورسعيد, El-Darb El-Ahmar, Al-Darb Al-Ahmar","https://www.google.com/maps/search/?api=1&query=30.04718209999999,31.2545516"
Banque Misr,"(30.0680897, 31.2452151)","49a Shobra, Ash Shamashargi, Shubra","https://www.google.com/maps/search/?api=1&query=30.0680897,31.2452151"
Banque Misr - ATM,"(30.060289, 31.2025467)","3663+427, Gazirat Mit Oqbah, Agouza","https://www.google.com/maps/search/?api=1&query=30.060289,31.2025467"
ATM Banque Misr - Ain Shams University,"(30.0758796, 31.2855693)","37GP+964, El-Qobba Bridge, El Weili","https://www.google.com/maps/search/?api=1&query=30.0758796,31.2855693"
Banque Misr ATM,"(30.0635446, 31.2846455)","377M+CV6, Al Mesaha Al Gologyah, As Sarayat, El Weili","https://www.google.com/maps/search/?api=1&query=30.0635446,31.2846455"
Bank misr kasr el nile,"(30.0494843, 31.2461579)","45 Kasr Al Nile, Al Fawalah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0494843,31.2461579"
Bank Misr,"(30.0450228, 31.2369644)","3 Talaat Harb, Bab Al Louq, Qasr El Nil","https://www.google.com/maps/search/?api=1&query=30.0450228,31.2369644"
Bank Masr,"(30.0759771, 31.2901571)","37GR+93W, El-Qobba Bridge, El Weili","https://www.google.com/maps/search/?api=1&query=30.0759771,31.2901571"
Banque Misr - Aghakhan Branch,"(30.1025466, 31.24338299999999)","10 Tafteesh Al Rai, Asad, El Sahel","https://www.google.com/maps/search/?api=1&query=30.1025466,31.24338299999999"
Banque Misr Shoubra El Khiema Branch,"(30.1143126, 31.2648472)","4777+PXJ, Bahtim, Shubra El Kheima 2","https://www.google.com/maps/search/?api=1&query=30.1143126,31.2648472"
بنك مصر فرع الوراق,"(30.1054537, 31.22003419999999)","464C+52C، Corniche El Nil، EL WARAK, Al Giza","https://www.google.com/maps/search/?api=1&query=30.1054537,31.22003419999999"
Banque Misr - ATM,"(30.0632076, 31.2311807)","Sanan Basha, Bulaq","https://www.google.com/maps/search/?api=1&query=30.0632076,31.2311807"
Atm banque misr,"(30.0494848, 31.2461473)","45 Kasr Al Nile, Al Fawalah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0494848,31.2461473"
ATM Banque Misr,"(30.0578362, 31.2775222)","375H+42J, El-Fardous, Al Ganzouri, Daher","https://www.google.com/maps/search/?api=1&query=30.0578362,31.2775222"
بنك مصر,"(30.0620934, 31.2716392)","376C+RMJ, Al Ganzouri, Daher","https://www.google.com/maps/search/?api=1&query=30.0620934,31.2716392"
Banque Misr ATM,"(30.0812489, 31.2150092)","36J7+GX5, Al Munirah, Imbaba","https://www.google.com/maps/search/?api=1&query=30.0812489,31.2150092"
Banque Misr - Retail ATM,"(30.0511267, 31.2429102)","26 Adly, Al Fawalah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0511267,31.2429102"
بنك مصر .. فرع المعاملات الأسلامية,"(30.0489074, 31.24403)","108 Mohammed Farid, Al Balaqsah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0489074,31.24403"
بنك مصر,"(30.0793714, 31.2790559)","93 Al Slhibi, Al Khassah, Hada'iq El Qobbah","https://www.google.com/maps/search/?api=1&query=30.0793714,31.2790559"
بنك مصر - الفرع الرئيسي,"(30.04815, 31.2442552)","شارع محمد فريد, Al Fawalah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.04815,31.2442552"
Atm Bank Misr Alamir Mall,"(30.0794755, 31.2483407)","36HX+Q7X, El Barad, Shubra","https://www.google.com/maps/search/?api=1&query=30.0794755,31.2483407"
ATM Bank Misr,"(30.0735341, 31.252944)","37F3+C54, At Teraa Al Boulaqeyah, Shubra","https://www.google.com/maps/search/?api=1&query=30.0735341,31.252944"
ATM Banque Misr,"(30.0554685, 31.2758486)",سكة دار العملة، الجنزوري، حي الظاهر، محافظة القاهرة‬،، 374G+699، الجنزوري، حي الظاهر، محافظة القاهرة‬ 4335102،,"https://www.google.com/maps/search/?api=1&query=30.0554685,31.2758486"
Banque Misr ATM,"(30.0794583, 31.2455758)","36HW+Q6P, Gesr Shubra, Rod El Farag","https://www.google.com/maps/search/?api=1&query=30.0794583,31.2455758"
Banque Misr For Islamic Transactions,"(30.0957796, 31.222529)","45 ش محمد حميدة، بنى سويف, Al Warak","https://www.google.com/maps/search/?api=1&query=30.0957796,31.222529"
ماكينة صراف الي بنك مصر,"(30.1800279, 31.2248166)","56JF+2W3, Al Asher Men Ramadan, Madinet Qelyoub, قسم قليوب،","https://www.google.com/maps/search/?api=1&query=30.1800279,31.2248166"
ماكينة صراف الي بنك مصر,"(30.181455, 31.222952)","56JF+H5P، مدينة قليوب، قليوب،، مدينة قليوب، قليوب، القليوبية،, Qalyub","https://www.google.com/maps/search/?api=1&query=30.181455,31.222952"
